from,to,season,mode,party_preset,party_pace,party_mount,party_size,party_forcedMarch,supply_preset,supply_rations,supply_water,supply_encumbrance,supply_pack,route_found,total_km,estimated_days,days_count,completed,finished_reason,encounters_total,calendar_events_total,rations_low_day,water_low_day,rations_out_day,water_out_day,final_rations_left,final_water_left,encounters_by_type_json,encounters_by_severity_json,error
ngaru_bon,oravan,spring,direct,light-fast,fast,foot,small,false,tight,3,2,light,none,true,2276.52,95.04,96,false,water-out,3,0,2,1,4,3,-83.4,-84.4,"{""social"":1,""combat"":1,""environmental"":1}","{""moderate"":2,""severe"":1}",
ngaru_bon,oravan,spring,direct,standard,normal,foot,medium,false,tight,3,2,light,none,true,2276.52,126.4,127,false,water-out,3,0,2,1,4,3,-111.3,-112.3,"{""social"":1,""combat"":1,""environmental"":1}","{""moderate"":2,""severe"":1}",
ngaru_bon,oravan,spring,direct,heavy-slow,slow,foot,large,false,tight,3,2,light,none,true,2276.52,184.51,185,false,water-out,3,0,2,1,4,3,-163.5,-164.5,"{""social"":1,""combat"":1,""environmental"":1}","{""moderate"":2,""severe"":1}",
ngaru_bon,oravan,spring,direct,light-fast,fast,foot,small,false,standard,7,3,normal,none,true,2276.52,95.04,96,false,water-out,3,0,5,1,7,3,-89,-93,"{""social"":1,""combat"":1,""environmental"":1}","{""moderate"":2,""severe"":1}",
ngaru_bon,oravan,spring,direct,standard,normal,foot,medium,false,standard,7,3,normal,none,true,2276.52,126.4,127,false,water-out,3,0,5,1,7,3,-120,-124,"{""social"":1,""combat"":1,""environmental"":1}","{""moderate"":2,""severe"":1}",
ngaru_bon,oravan,spring,direct,heavy-slow,slow,foot,large,false,standard,7,3,normal,none,true,2276.52,184.51,185,false,water-out,3,0,5,1,7,3,-178,-182,"{""social"":1,""combat"":1,""environmental"":1}","{""moderate"":2,""severe"":1}",
ngaru_bon,oravan,spring,direct,light-fast,fast,foot,small,false,caravan,14,7,heavy,caravan,true,2276.52,95.04,96,false,water-out,3,0,18,11,20,13,-84.6,-91.6,"{""social"":1,""combat"":1,""environmental"":1}","{""moderate"":2,""severe"":1}",
ngaru_bon,oravan,spring,direct,standard,normal,foot,medium,false,caravan,14,7,heavy,caravan,true,2276.52,126.4,127,false,water-out,3,0,18,11,20,13,-118.7,-125.7,"{""social"":1,""combat"":1,""environmental"":1}","{""moderate"":2,""severe"":1}",
ngaru_bon,oravan,spring,direct,heavy-slow,slow,foot,large,false,caravan,14,7,heavy,caravan,true,2276.52,184.51,185,false,water-out,3,0,18,11,20,13,-182.5,-189.5,"{""social"":1,""combat"":1,""environmental"":1}","{""moderate"":2,""severe"":1}",
ngaru_bon,oravan,spring,fastest,light-fast,fast,foot,small,false,tight,3,2,light,none,true,2582,38.83,39,false,water-out,4,0,2,1,4,3,-32.1,-33.1,"{""opportunity"":1,""social"":3}","{""mild"":1,""moderate"":2,""severe"":1}",
ngaru_bon,oravan,spring,fastest,standard,normal,foot,medium,false,tight,3,2,light,none,true,2582,51.64,52,false,water-out,4,0,2,1,4,3,-43.8,-44.8,"{""opportunity"":1,""social"":3}","{""mild"":1,""moderate"":2,""severe"":1}",
